['386匹配结果:0.467869073152542', '388匹配结果:0.940228641033173', '388匹配成功置信度：0.940228641033173']
['546匹配结果:0.460315644741058', '548匹配结果:0.941189110279083', '548匹配成功置信度：0.941189110279083']
['380匹配结果:0.467873483896255', '382匹配结果:0.939441323280334', '382匹配成功置信度：0.939441323280334']
['380匹配结果:0.463548511266708', '382匹配结果:0.930027723312378', '381匹配成功置信度：0.879779815673828']
['370匹配结果:0.462875038385391', '372匹配结果:0.933654844760895', '371匹配成功置信度：0.932426333427429']
['386匹配结果:0.465900242328644', '388匹配结果:0.938798725605011', '388匹配成功置信度：0.938798725605011']
['382匹配结果:0.464375734329224', '384匹配结果:0.936217725276947', '383匹配成功置信度：0.931982159614563']
['382匹配结果:0.465930134057999', '384匹配结果:0.937848687171936', '384匹配成功置信度：0.937848687171936']
['372匹配结果:0.470060080289841', '374匹配结果:0.941954553127289', '374匹配成功置信度：0.941954553127289']
['376匹配结果:0.466560482978821', '378匹配结果:0.932378709316254', '378匹配成功置信度：0.932378709316254']
['378匹配结果:0.468493610620499', '380匹配结果:0.888406753540039', '380匹配成功置信度：0.888406753540039']
['378匹配结果:0.467511147260666', '380匹配结果:0.931613445281982', '380匹配成功置信度：0.931613445281982']
['378匹配结果:0.464794725179672', '380匹配结果:0.927253842353821', '380匹配成功置信度：0.927253842353821']
['392匹配结果:0.469643175601959', '394匹配结果:0.942334592342377', '393匹配成功置信度：0.933517754077911']
['364匹配结果:0.468171685934067', '366匹配结果:0.930146634578705', '366匹配成功置信度：0.930146634578705']
['386匹配结果:0.464503765106201', '388匹配结果:0.93931519985199', '388匹配成功置信度：0.93931519985199']
['344匹配结果:0.466667413711548', '346匹配结果:0.937108397483826', '345匹配成功置信度：0.929328799247742']
['346匹配结果:0.460174143314362', '348匹配结果:0.934612095355988', '347匹配成功置信度：0.934798836708069']
['384匹配结果:0.468094676733017', '386匹配结果:0.934496641159058', '385匹配成功置信度：0.870704889297485']
['388匹配结果:0.469038337469101', '390匹配结果:0.934331238269806', '390匹配成功置信度：0.934331238269806']
['396匹配结果:0.466197848320007', '398匹配结果:0.931327760219574', '397匹配成功置信度：0.90588253736496']
['386匹配结果:0.7175572514534', '388匹配结果:0.936964571475983', '387匹配成功置信度：0.934717833995819']
['334匹配结果:0.470881879329681', '336匹配结果:0.934042394161224', '336匹配成功置信度：0.934042394161224']
['356匹配结果:0.47265237569809', '358匹配结果:0.933228433132172', '358匹配成功置信度：0.933228433132172']
['384匹配结果:0.473138928413391', '386匹配结果:0.934625148773193', '385匹配成功置信度：0.896382689476013']
['374匹配结果:0.447010725736618', '376匹配结果:0.938635110855103', '375匹配成功置信度：0.941196501255035']
['376匹配结果:0.468014985322952', '378匹配结果:0.936538815498352', '378匹配成功置信度：0.936538815498352']
['376匹配结果:0.496957957744598', '378匹配结果:0.92495721578598', '377匹配成功置信度：0.932930767536163']
['556匹配结果:0.466412961483002', '558匹配结果:0.929665684700012', '558匹配成功置信度：0.929665684700012']
['384匹配结果:0.465116620063782', '386匹配结果:0.932982563972473', '385匹配成功置信度：0.9324089884758']
['394匹配结果:0.465678036212921', '396匹配结果:0.927604496479034', '396匹配成功置信度：0.927604496479034']
['362匹配结果:0.469966143369675', '364匹配结果:0.937691211700439', '363匹配成功置信度：0.928731620311737']
['382匹配结果:0.465575963258743', '384匹配结果:0.9355508685112', '383匹配成功置信度：0.925202429294586']
